,Number,HouseCount,HomeCount,Population,h,z,StreetNubmer,Area,node,AreaCode,StreetID,nodeCount
59,60,4,475,1024,63.00525,49.81533333,C0003,宽城区,6450,2,139,3
60,61,11,650,1351,56.94125,57.077,C0021,宽城区,5758,2,157,4
61,62,6,421,874,60.59975,56.74466667,C0026,宽城区,6157,2,162,7
62,63,7,590,1260,50.2475,63.85266667,C0045,宽城区,5164,2,181,5
63,64,11,540,1202,51.55975,66.71966667,C0043,宽城区,5267,2,179,6
64,65,12,1045,2168,60.34775,57.419,C0026,宽城区,6158,2,162,7
65,66,17,1381,3205,58.95875,60.10766667,C0032,宽城区,5961,2,168,3
66,67,10,571,1186,50.39475,64.6,C0042,宽城区,5165,2,178,3
67,68,7,1703,3762,58.765,53.25366667,C0016,宽城区,5954,2,152,3
68,69,7,643,1333,61.59875,55.67133333,C0026,宽城区,6256,2,162,7
69,70,9,764,1700,51.85475,65.743,C0043,宽城区,5266,2,179,6
70,71,11,820,1785,48.9105,62.95133333,C0048,宽城区,4963,2,184,2
71,72,9,659,1459,63.52425,55.13,C0018,宽城区,6456,2,154,6
72,73,7,446,992,51.7395,65.18966667,C0043,宽城区,5266,2,179,6
73,74,5,811,2023,62.1765,59.60833333,C0028,宽城区,6360,2,164,5
74,75,15,2015,4649,64.1065,64.57933333,C0031,宽城区,6565,2,167,3
75,76,3,1547,3602,55.07075,55.23033333,C0013,宽城区,5656,2,149,4
76,77,10,865,1796,50.4975,64.88233333,C0042,宽城区,5165,2,178,3
77,78,7,1405,3400,57.13075,48.42,C0001,宽城区,5849,2,137,1
78,79,3,448,923,54.72475,60.65566667,C0034,宽城区,5561,2,170,9
79,80,6,280,577,55.0225,62.24566667,C0034,宽城区,5663,2,170,9
80,81,5,371,886,44.716,62.011,C0046,宽城区,4563,2,182,4
81,82,9,581,1349,57.9535,56.54433333,C0032,宽城区,5857,2,168,3
82,83,7,491,1246,53.98225,72.23533333,C0056,宽城区,5473,2,192,3
83,84,4,552,1285,53.5485,51.73033333,C0013,宽城区,5452,2,149,4
84,85,11,810,1834,47.7665,64.047,C0050,宽城区,4865,2,186,2
85,86,12,911,2016,63.4415,56.01966667,C0018,宽城区,6457,2,154,6
86,87,14,557,1331,45.3545,61.48766667,C0046,宽城区,4662,2,182,4
87,88,1,89,203,56.306999999999995,58.83566667,C0035,宽城区,5759,2,171,6
88,89,3,354,788,53.5545,67.99033333,C0043,宽城区,5468,2,179,6
89,90,7,513,1096,50.51675,63.038999999999994,C0045,宽城区,5164,2,181,5
90,91,3,236,491,55.15325,57.427,C0021,宽城区,5658,2,157,4
91,92,13,843,1801,50.15575,61.63833333,C0045,宽城区,5162,2,181,5
92,93,4,152,313,55.38425,61.44333333,C0034,宽城区,5662,2,170,9
93,94,10,731,1516,61.60575,56.619,C0026,宽城区,6257,2,162,7
94,95,5,367,855,53.48425,52.09533333,C0013,宽城区,5453,2,149,4
95,96,10,617,1496,49.0225,61.387,C0049,宽城区,5062,2,185,6
96,97,13,908,2265,60.34425,58.37033333,C0028,宽城区,6159,2,164,5
97,98,10,948,2042,52.81475,63.788000000000004,C0044,宽城区,5364,2,180,5
98,99,16,1735,3574,58.6385,69.42866667,C0034,宽城区,5970,2,170,9
99,100,10,625,1346,50.4215,63.37833333,C0044,宽城区,5164,2,180,5
100,101,10,618,1715,63.67875,59.481,C0036,宽城区,6460,2,172,2
101,102,5,529,1246,53.89575,55.53566667,C0020,宽城区,5456,2,156,6
102,103,6,390,905,56.99075,59.61,C0032,宽城区,5760,2,168,3
103,104,6,472,1144,46.39425,61.20433333,C0049,宽城区,4762,2,185,6
104,105,4,385,801,58.9515,56.36433333,C0021,宽城区,5957,2,157,4
105,106,3,185,381,55.17275,59.019,C0034,宽城区,5660,2,170,9
106,107,4,250,519,60.11975,56.72233333,C0026,宽城区,6157,2,162,7
107,108,4,418,1545,57.0785,52.74566667,C0009,宽城区,5853,2,145,1
108,109,6,524,1307,58.77725,60.69466667,C0028,宽城区,5961,2,164,5
109,110,8,596,1262,51.6905,59.08066667,C0047,宽城区,5260,2,183,8
110,111,3,227,480,51.1395,62.86766667,C0047,宽城区,5263,2,183,8
111,112,5,235,484,54.5835,62.755,C0034,宽城区,5563,2,170,9
112,113,1,97,252,56.57275,50.26366667,C0008,宽城区,5751,2,144,1
113,114,15,835,2632,54.5625,52.53766667,C0011,宽城区,5553,2,147,2
114,115,4,246,511,56.75025,58.644,C0021,宽城区,5759,2,157,4
115,116,10,635,1405,62.63975,57.45333333,C0018,宽城区,6358,2,154,6
116,117,7,520,1148,59.00125,51.34233333,C0016,宽城区,6052,2,152,3
117,118,4,133,274,52.2165,50.611999999999995,C0015,宽城区,5351,2,151,3
118,119,3,218,462,52.477,62.38966667,C0047,宽城区,5363,2,183,8
119,120,1,37,77,56.075,60.23,C0034,宽城区,5761,2,170,9
120,121,8,578,1267,51.5605,50.32833333,C0014,宽城区,5251,2,150,1
121,122,4,184,394,48.9355,63.92966667,C0054,宽城区,4964,2,190,3
122,123,13,1298,4224,54.607,50.953,C0012,宽城区,5551,2,148,1
123,124,1,363,802,59.97825,54.99133333,C0016,宽城区,6055,2,152,3
124,125,5,391,843,49.22475,63.62666667,C0044,宽城区,5064,2,180,5
125,126,12,497,1070,51.30225,64.70133333,C0044,宽城区,5265,2,180,5
126,127,1,78,207,56.51475,58.31733333,C0017,宽城区,5759,2,153,5
127,128,7,270,556,52.87075,51.997,C0015,宽城区,5352,2,151,3
128,129,3,374,846,47.9235,64.40366667,C0050,宽城区,4865,2,186,2
129,130,4,340,1135,62.81275,50.456,C0004,宽城区,6351,2,140,2
130,131,1,378,1049,54.92375,53.135,C0010,宽城区,5554,2,146,2
131,132,1,225,597,56.61075,57.70233333,C0017,宽城区,5758,2,153,5
132,133,3,281,746,57.61525,57.02166667,C0017,宽城区,5858,2,153,5
133,134,4,285,922,62.54375,59.333999999999996,C0038,宽城区,6360,2,174,1
134,135,1,62,144,52.9295,50.56466667,C0013,宽城区,5351,2,149,4
135,136,11,708,1971,52.20725,67.51133333,C0055,宽城区,5368,2,191,4
136,137,4,396,854,63.67925,50.285,C0003,宽城区,6451,2,139,3
137,138,10,781,1684,63.2495,49.09333333,C0003,宽城区,6450,2,139,3
138,139,7,508,1410,63.7355,58.698,C0036,宽城区,6459,2,172,2
139,140,3,190,504,56.91025,57.39466667,C0017,宽城区,5758,2,153,5
140,141,7,323,783,47.08325,61.783,C0049,宽城区,4862,2,185,6
141,142,8,562,1190,52.068999999999996,62.88766667,C0047,宽城区,5363,2,183,8
142,143,3,108,254,55.13225,59.117,C0020,宽城区,5660,2,156,6
143,144,7,740,1963,58.607,52.66533333,C0017,宽城区,5953,2,153,5
144,145,7,585,1418,45.91425,60.10366667,C0049,宽城区,4661,2,185,6
145,146,1,116,241,60.93575,55.52266667,C0026,宽城区,6156,2,162,7
146,147,2,173,646,58.06175,49.724,C0007,宽城区,5950,2,143,1
147,148,12,853,1959,55.549,51.79666667,C0006,宽城区,5652,2,142,2
148,149,7,667,1664,58.8405,61.229,C0028,宽城区,5962,2,164,5
149,150,5,316,669,51.97225,64.29866667,C0047,宽城区,5265,2,183,8
150,151,7,312,756,47.1875,61.748000000000005,C0049,宽城区,4862,2,185,6
151,152,4,219,464,52.363,65.05133333,C0047,宽城区,5366,2,183,8
152,153,5,344,729,51.30225,64.70133333,C0047,宽城区,5265,2,183,8
153,154,5,234,785,52.19525,50.20133333,C0057,宽城区,5351,2,193,1
154,155,5,414,871,63.03875,50.75,C0005,宽城区,6451,2,141,1
155,156,5,377,835,62.25075,57.269,C0018,宽城区,6358,2,154,6
156,157,7,672,1705,54.33875,68.61966667,C0056,宽城区,5569,2,192,3
157,158,3,354,1081,59.575,52.13,C0002,宽城区,6053,2,138,2
158,159,4,277,662,45.555,62.71533333,C0046,宽城区,4663,2,182,4
159,160,3,443,1044,55.7775,60.768,C0020,宽城区,5661,2,156,6
160,161,1,328,1095,61.739,49.78733333,C0004,宽城区,6250,2,140,2
161,162,1,240,514,51.48125,63.497,C0054,宽城区,5264,2,190,3
162,163,8,439,972,62.3865,56.51133333,C0018,宽城区,6357,2,154,6
163,164,2,111,261,55.38425,61.44333333,C0020,宽城区,5662,2,156,6
164,165,9,467,951,47.24100000000001,68.21,C0052,宽城区,4869,2,188,1
165,166,3,1185,2792,53.61875,56.016999999999996,C0020,宽城区,5457,2,156,6
166,167,3,188,523,51.77525,63.20433333,C0055,宽城区,5264,2,191,4
167,168,7,570,1315,63.351000000000006,60.701,C0031,宽城区,6461,2,167,3
168,169,30,3319,7330,65.207,43.51933333,E0033,二道区,6644,4,284,1
169,170,34,2525,6309,70.639,43.302,E0007,二道区,7144,4,258,2
170,171,19,1796,3659,67.0455,44.802,E0009,二道区,6845,4,260,6
171,172,24,2413,7817,71.0105,42.38133333,E0018,二道区,7243,4,269,1
172,173,30,5230,11489,69.831,42.30766667,E0008,二道区,7043,4,259,1
173,174,12,2138,4315,71.83375,43.15266667,E0015,二道区,7244,4,266,3
174,175,22,2689,6719,69.92325,43.50333333,E0007,二道区,7044,4,258,2
175,176,10,2230,5153,71.34100000000001,44.70133333,E0014,二道区,7245,4,265,2
176,177,16,2773,7266,70.90775,48.64733333,E0030,二道区,7149,4,281,1
177,178,34,982,1995,65.6145,39.48133333,E0012,二道区,6640,4,263,4
178,179,26,1506,3126,67.4835,44.941,E0025,二道区,6845,4,276,1
179,180,20,873,1758,65.102,44.648,E0034,二道区,6645,4,285,2
180,181,13,1015,2220,70.453,44.53666667,E0006,二道区,7145,4,257,4
181,182,23,2646,6031,68.039,43.39566667,E0026,二道区,6944,4,277,3
182,183,36,3631,7397,66.98899999999999,42.92033333,E0009,二道区,6743,4,260,6
183,184,30,1187,2534,67.47,39.07533333,E0004,二道区,6840,4,255,3
184,185,22,2257,5378,67.5625,58.10833333,E0036,二道区,6859,4,287,9
185,186,11,2096,5930,67.587,50.60766667,E0043,二道区,6851,4,294,2
186,187,22,1417,3980,69.039,39.584,E0005,二道区,7040,4,256,2
187,188,11,668,1460,69.7945,45.44566667,E0006,二道区,7046,4,257,4
188,189,10,1468,2963,72.028,42.136,E0015,二道区,7343,4,266,3
189,190,15,828,1811,69.73125,45.82166667,E0006,二道区,7046,4,257,4
190,191,19,3514,7681,70.003,39.86933333,E0017,二道区,7140,4,268,1
191,192,23,2843,7986,68.2335,42.638000000000005,E0005,二道区,6943,4,256,2
192,193,21,2067,4413,68.11475,41.19933333,E0004,二道区,6942,4,255,3
193,194,14,1577,5100,69.7045,47.016999999999996,E0029,二道区,7048,4,280,1
194,195,6,841,1872,65.84775,49.316,E0028,二道区,6650,4,279,3
195,196,8,1471,3173,72.017,44.695,E0024,二道区,7345,4,275,3
196,197,10,740,1767,65.83575,41.47866667,E0013,二道区,6642,4,264,2
197,198,16,1941,4834,70.39425,41.30666667,E0021,二道区,7142,4,272,1
198,199,17,1315,2875,70.006,40.96266667,E0006,二道区,7141,4,257,4
199,200,7,1402,3766,70.55975,49.01266667,E0023,二道区,7150,4,274,1
200,201,14,989,2307,73.0965,41.24733333,E0016,二道区,7442,4,267,4
201,202,9,585,1249,67.4495,40.66166667,E0004,二道区,6841,4,255,3
202,203,6,576,1313,68.82075,45.42533333,E0026,二道区,6946,4,277,3
203,204,19,849,1936,69.503,46.56399999999999,E0026,二道区,7047,4,277,3
204,205,9,754,1766,68.626,44.94466667,E0027,二道区,6945,4,278,2
205,206,19,2248,6361,67.465,51.49333333,E0043,二道区,6852,4,294,2
206,207,54,2464,5774,67.98899999999999,46.33666667,E0027,二道区,6847,4,278,2
207,208,19,1032,2585,70.937,39.58,E0022,二道区,7140,4,273,10
208,209,27,1356,2987,69.59625,57.403999999999996,E0037,二道区,7058,4,288,4
209,210,2,1024,2366,69.32625,41.47733333,E0014,二道区,7042,4,265,2
210,211,9,2135,4704,69.95525,51.49266667,E0037,二道区,7052,4,288,4
211,212,10,389,792,68.8075,40.72033333,E0009,二道区,6941,4,260,6
212,213,15,1401,3119,67.00725,47.101000000000006,E0028,二道区,6848,4,279,3
213,214,13,648,1398,70.2315,46.18333333,E0024,二道区,7147,4,275,3
214,215,10,963,2077,69.99225,47.49933333,E0024,二道区,7048,4,275,3
215,216,9,537,1178,67.3405,41.35233333,E0010,二道区,6842,4,261,7
216,217,8,658,1648,70.06825,44.87966667,E0022,二道区,7145,4,273,10
217,218,5,985,2413,75.01,44.28766667,E0048,二道区,7645,4,299,4
218,219,45,1920,5284,68.21975,63.73766667,E0040,二道区,6964,4,291,3
219,220,7,532,1084,68.85525,40.19933333,E0009,二道区,6941,4,260,6
220,221,24,3214,10019,71.182,57.13766667,E0039,二道区,7258,4,290,1
221,222,18,969,2135,69.585,58.316,E0037,二道区,7059,4,288,4
222,223,6,1619,4076,67.14475,55.19533333,E0038,二道区,6856,4,289,3
223,224,7,587,1472,70.707,45.44966667,E0022,二道区,7146,4,273,10
224,225,18,1104,2421,66.41475,42.13633333,E0010,二道区,6743,4,261,7
225,226,6,533,1169,66.6195,41.69066667,E0010,二道区,6742,4,261,7
226,227,18,1385,3299,67.89175,59.89166667,E0036,二道区,6860,4,287,9
227,228,9,426,868,67.245,45.324,E0009,二道区,6846,4,260,6
228,229,10,1746,4267,67.77775,50.99533333,E0042,二道区,6851,4,293,1
229,230,10,1389,3823,68.0195,61.074,E0040,二道区,6962,4,291,3
230,231,10,1389,3497,68.58475,56.50633333,E0038,二道区,6957,4,289,3
231,232,5,380,906,65.83275,41.93,E0013,二道区,6642,4,264,2
232,233,12,1022,2065,71.92425,48.28533333,E0020,二道区,7249,4,271,4
233,234,15,993,2004,71.274,40.673,E0015,二道区,7241,4,266,3
234,235,11,820,2065,68.60575,57.37633333,E0038,二道区,6958,4,289,3
235,236,5,214,434,65.605,40.305,E0012,二道区,6641,4,263,4
236,237,10,988,2561,67.86775,53.39533333,E0041,二道区,6854,4,292,6
237,238,5,734,1902,68.5165,54.513999999999996,E0041,二道区,6955,4,292,6
238,239,9,1049,2312,70.37899999999999,57.67366667,E0037,二道区,7158,4,288,4
239,240,7,632,1277,69.99225,47.49933333,E0020,二道区,7048,4,271,4
240,241,7,950,2263,66.8035,60.90766667,E0036,二道区,6761,4,287,9
241,242,10,643,1431,66.96525,48.70366667,E0028,二道区,6749,4,279,3
242,243,7,1048,2884,67.768,61.501000000000005,E0040,二道区,6862,4,291,3
243,244,14,1108,2872,68.619,52.46666667,E0041,二道区,6953,4,292,6
244,245,13,1378,3599,74.109,57.37833333,E0032,二道区,7558,4,283,6
245,246,7,371,756,67.3145,46.001000000000005,E0009,二道区,6847,4,260,6
246,247,22,1296,3384,73.27525,57.13,E0032,二道区,7458,4,283,6
247,248,22,3232,8489,68.5155,65.00933333,E0031,二道区,6966,4,282,1
248,249,11,507,1182,72.0745,40.07966667,E0016,二道区,7341,4,267,4
249,250,2,1056,2152,69.0045,41.486999999999995,E0010,二道区,7042,4,261,7
250,251,5,471,1122,67.2635,57.688,E0036,二道区,6858,4,287,9
251,252,2,116,236,66.215,38.96966667,E0012,二道区,6739,4,263,4
252,253,5,316,642,66.4905,39.20033333,E0012,二道区,6740,4,263,4
253,254,7,1182,2401,65.42975,40.515,E0011,二道区,6641,4,262,10
254,255,4,141,309,66.87100000000001,40.652,E0010,二道区,6741,4,261,7
255,256,4,273,637,73.25775,41.972,E0016,二道区,7442,4,267,4
256,257,7,424,1010,67.71275,58.41866667,E0036,二道区,6859,4,287,9
257,258,9,541,1187,67.54575,47.23233333,E0010,二道区,6848,4,261,7
258,259,3,272,597,66.64575,40.67166667,E0010,二道区,6741,4,261,7
259,260,3,350,768,68.2345,41.91166667,E0034,二道区,6942,4,285,2
260,261,3,255,639,69.5675,45.103,E0022,二道区,7046,4,273,10
261,262,8,749,1941,68.2365,47.51433333,E0041,二道区,6948,4,292,6
262,263,3,276,659,65.54975,41.16666667,E0011,二道区,6642,4,262,10
263,264,5,748,1745,71.605,39.510999999999996,E0016,二道区,7240,4,267,4
264,265,10,617,1470,67.94925,58.136,E0036,二道区,6859,4,287,9
265,266,9,482,971,66.317,44.32666667,E0044,二道区,6745,4,295,10
266,267,5,309,1081,66.46475,40.199,E0011,二道区,6741,4,262,10
267,268,14,1990,5157,69.99775,58.885,E0041,二道区,7059,4,292,6
268,269,7,485,1215,70.054,41.51266667,E0022,二道区,7142,4,273,10
269,270,4,593,1536,67.86775,53.39533333,E0041,二道区,6854,4,292,6
270,271,2,212,742,66.48625,38.87866667,E0011,二道区,6739,4,262,10
271,272,3,246,861,66.815,39.08266667,E0011,二道区,6740,4,262,10
272,273,17,1000,2383,67.483,56.283,E0036,二道区,6857,4,287,9
273,274,27,2885,5828,68.59375,48.49933333,E0020,二道区,6949,4,271,4
274,275,2,258,600,73.47875,46.547,E0019,二道区,7447,4,270,4
275,276,11,1076,2563,67.96300000000001,57.25833333,E0036,二道区,6858,4,287,9
276,277,2,282,706,69.81875,38.92933333,E0022,二道区,7039,4,273,10
277,278,14,1652,3936,69.6635,61.60966667,E0036,二道区,7062,4,287,9
278,279,5,480,969,71.36125,41.358000000000004,E0022,二道区,7242,4,273,10
279,280,41,2100,4251,68.85625,64.34633333,E0001,二道区,6965,4,252,2
280,281,14,1158,2344,67.5355,56.52433333,E0001,二道区,6857,4,252,2
281,282,2,142,356,69.44425,39.86133333,E0022,二道区,7040,4,273,10
282,283,4,309,1082,65.83275,41.93,E0011,二道区,6642,4,262,10
283,284,2,104,364,66.2755,40.359,E0011,二道区,6741,4,262,10
284,285,2,312,1078,66.6195,45.93133333,E0044,二道区,6746,4,295,10
285,286,5,128,320,71.24600000000001,45.51933333,E0022,二道区,7246,4,273,10
286,287,5,546,1368,68.5475,38.63733333,E0022,二道区,6939,4,273,10
287,288,14,1021,2730,71.38225,39.25,E0047,二道区,7240,4,298,10
288,289,5,261,698,72.06525,39.70766667,E0047,二道区,7340,4,298,10
289,290,4,701,1874,71.5325,38.88933333,E0047,二道区,7239,4,298,10
290,291,6,350,813,73.024,40.22866667,E0019,二道区,7441,4,270,4
291,292,9,1114,2251,72.87525,52.723,E0020,二道区,7353,4,271,4
292,293,5,314,636,67.71275,58.41866667,E0003,二道区,6859,4,254,4
293,294,3,413,834,68.6575,55.80366667,E0003,二道区,6956,4,254,4
294,295,5,404,1395,67.2,45.91933333,E0044,二道区,6846,4,295,10
295,296,3,260,652,71.54525,39.90433333,E0047,二道区,7240,4,298,10
296,297,2,68,238,66.87100000000001,40.652,E0011,二道区,6741,4,262,10
297,298,6,406,1086,73.23775,38.74066667,E0047,二道区,7439,4,298,10
298,299,9,695,2471,67.57075,57.03266667,E0003,二道区,6858,4,254,4
299,300,5,179,478,69.27,40.59366667,E0047,二道区,7041,4,298,10
300,301,4,287,667,72.8875,40.49833333,E0019,二道区,7341,4,270,4
301,302,3,180,481,72.24575,39.43233333,E0047,二道区,7340,4,298,10
302,303,10,214,572,70.2915,38.77566667,E0047,二道区,7139,4,298,10
303,304,7,634,2189,67.77775,50.99533333,E0044,二道区,6851,4,295,10
304,305,18,1155,2683,72.0045,47.59866667,E0019,二道区,7348,4,270,4
305,306,5,546,1459,71.91125,38.727,E0047,二道区,7239,4,298,10
306,307,7,261,901,67.627,46.98733333,E0044,二道区,6847,4,295,10
307,308,4,267,714,72.6265,38.864000000000004,E0047,二道区,7339,4,298,10
308,309,8,689,2379,68.81075,53.63366667,E0044,二道区,6954,4,295,10
309,310,10,1362,3557,73.27525,57.13,E0032,二道区,7458,4,283,6
310,311,16,1426,3872,69.32225,61.003,E0002,二道区,7062,4,253,1
311,312,3,201,695,67.068,46.22466667,E0044,二道区,6847,4,295,10
312,313,3,128,449,66.2495,40.686,E0011,二道区,6741,4,262,10
313,314,3,221,774,65.9745,40.83733333,E0011,二道区,6641,4,262,10
314,315,5,1414,3781,72.58175,42.30033333,E0049,二道区,7343,4,300,5
315,316,14,1403,3664,69.36425,59.65533333,E0032,二道区,7060,4,283,6
316,317,3,398,1374,68.8655,43.84633333,E0044,二道区,6944,4,295,10
317,318,6,313,818,72.83775,49.97633333,E0032,二道区,7350,4,283,6
318,319,3,375,833,72.8075,39.50733333,E0049,二道区,7340,4,300,5
319,320,6,318,706,72.18775,38.774,E0049,二道区,7339,4,300,5
320,321,5,708,1849,72.82075,55.01466667,E0032,二道区,7356,4,283,6
321,322,5,158,553,66.0505,39.726,E0044,二道区,6740,4,295,10
322,323,3,98,338,66.5995,47.025,E0044,二道区,6748,4,295,10
323,324,2,102,214,68.95075,38.95966667,E0046,二道区,6939,4,297,3
324,325,4,315,699,70.52275,41.28766667,E0049,二道区,7142,4,300,5
325,326,2,318,736,68.583,53.73533333,E0035,二道区,6954,4,286,1
326,327,2,510,1068,68.52525,39.093,E0046,二道区,6940,4,297,3
327,328,3,188,426,69.81875,38.92933333,E0050,二道区,7039,4,301,1
328,329,4,467,977,67.55425,38.51566667,E0046,二道区,6839,4,297,3
329,330,6,272,666,74.0815,49.089,E0048,二道区,7550,4,299,4
330,331,3,611,1356,70.9105,40.321,E0049,二道区,7141,4,300,5
331,332,9,385,1329,68.58675,51.26266667,E0045,二道区,6952,4,296,3
332,333,6,757,1854,73.83675,46.59833333,E0048,二道区,7447,4,299,4
333,334,10,649,1589,73.05575,45.58766667,E0048,二道区,7446,4,299,4
334,335,3,261,929,67.453,60.40333333,E0003,二道区,6861,4,254,4
335,336,8,538,1857,68.21125,54.25433333,E0045,二道区,6955,4,296,3
336,337,6,408,1514,67.25775,45.35366667,E0045,二道区,6846,4,296,3
337,338,23,1634,5084,42.75875,34.76633333,A0059,朝阳区,4335,0,58,8
338,339,35,3043,7500,48.68899999999999,37.41133333,A0049,朝阳区,4938,0,48,3
339,340,16,1740,4024,41.47625,34.62566667,A0057,朝阳区,4235,0,56,4
340,341,77,4467,11681,49.43600000000001,28.84566667,A0029,朝阳区,5029,0,28,1
341,342,117,5933,15044,50.02875,32.9,A0025,朝阳区,5133,0,24,1
342,343,15,1757,4064,41.05925,33.942,A0057,朝阳区,4234,0,56,4
343,344,9,1845,5865,38.97825,32.66666667,A0012,朝阳区,3933,0,11,1
344,345,15,849,2641,43.17925,34.57,A0059,朝阳区,4435,0,58,8
345,346,6,1426,3002,39.89925,32.69233333,A0014,朝阳区,4033,0,13,5
346,347,13,1197,3721,43.138000000000005,35.94733333,A0069,朝阳区,4436,0,68,4
347,348,55,2434,7011,49.41125,30.84566667,A0027,朝阳区,5031,0,26,2
348,349,20,1420,3500,49.80125,36.685,A0049,朝阳区,5037,0,48,3
349,350,14,1195,4149,47.906000000000006,38.67333333,A0051,朝阳区,4839,0,50,5
350,351,16,1337,2790,46.755,36.30833333,A0054,朝阳区,4737,0,53,10
351,352,21,3255,8168,45.3055,38.50366667,A0056,朝阳区,4639,0,55,2
352,353,49,3507,8963,37.7225,31.45466667,A0066,朝阳区,3832,0,65,1
353,354,7,615,1375,43.77175,33.98933333,A0011,朝阳区,4434,0,10,5
