,gtr,ggr,gike,gdo,gdp,gsd,grs,otr,ogr,oike,odo,odp,osd,ors,ptr,pgr,pike,pdo,pdp,psd,prs,vtr,vgr,vike,vdo,vdp,vsd,vrs
2022-04-01,16953.0,15000.0,1600.0,61.0,15.0,12.0,15.0,3373.0,1800.0,560.0,44.0,16.0,25.0,15.0,5616.0,2000.0,3500.0,125.0,200.0,11.0,3.0,3896.0,0,3771.0,550.0,975.0,2.0,7.0
2022-04-02,17372.0,15000.0,1560.0,71.0,5.0,12.0,15.0,3498.0,1800.0,560.0,57.0,13.0,26.0,15.0,5647.0,2000.0,3500.0,178.0,213.0,11.0,3.0,2024.0,0,1684.0,2449.0,562.0,1.0,7.0
2022-04-03,17255.0,15000.0,1480.0,118.0,4.0,12.0,15.0,3461.0,1800.0,853.0,137.0,41.0,26.0,15.0,5612.0,2000.0,3500.0,204.0,168.0,11.0,3.0,2673.0,0,1684.0,876.0,1121.0,1.0,7.0
2022-04-04,17508.0,15000.0,1430.0,143.0,85.0,12.0,15.0,3634.0,1800.0,900.0,44.0,50.0,27.0,15.0,5648.0,2000.0,3500.0,125.0,168.0,11.0,3.0,3657.0,0,1684.0,685.0,1573.0,2.0,7.0
2022-04-05,17428.0,15000.0,1400.0,118.0,62.0,12.0,15.0,3617.0,1800.0,900.0,40.0,30.0,27.0,15.0,5672.0,2000.0,3500.0,74.0,87.0,11.0,3.0,3617.0,0,920.0,381.0,1094.0,2.0,7.0
2022-04-06,17154.0,15000.0,1200.0,112.0,26.0,12.0,15.0,3607.0,1800.0,890.0,61.0,45.0,27.0,15.0,5716.0,2000.0,3600.0,84.0,143.0,11.0,3.0,3848.0,0,830.0,546.0,679.0,2.0,7.0
2022-04-07,17292.0,15000.0,1200.0,110.0,24.0,12.0,15.0,3592.0,1800.0,890.0,37.0,9.0,27.0,15.0,5752.0,2000.0,3600.0,69.0,126.0,11.0,3.0,3472.0,0,830.0,372.0,201.0,2.0,7.0
2022-04-08,17123.0,15000.0,1200.0,142.0,132.0,12.0,15.0,3346.0,1800.0,890.0,65.0,33.0,25.0,15.0,5785.0,2000.0,3600.0,89.0,119.0,11.0,3.0,2852.0,0,777.0,1151.0,1177.0,2.0,7.0
2022-04-09,17184.0,15000.0,1200.0,147.0,93.0,12.0,15.0,3380.0,1800.0,890.0,62.0,47.0,25.0,15.0,5814.0,2000.0,3600.0,120.0,138.0,11.0,3.0,3413.0,0,777.0,1632.0,2193.0,2.0,7.0
2022-04-10,16822.0,15000.0,1200.0,241.0,80.0,12.0,15.0,3179.0,1800.0,890.0,131.0,50.0,24.0,15.0,5806.0,2000.0,3600.0,127.0,194.0,11.0,3.0,3579.0,0,777.0,2439.0,2605.0,2.0,7.0
2022-04-11,16963.0,15000.0,1200.0,185.0,207.0,12.0,15.0,3534.0,1800.0,890.0,114.0,349.0,26.0,15.0,5832.0,2000.0,3600.0,128.0,187.0,11.0,3.0,3757.0,0,777.0,3264.0,3442.0,2.0,7.0
2022-04-12,17121.0,15000.0,1200.0,209.0,336.0,12.0,15.0,2821.0,1800.0,890.0,103.0,269.0,21.0,15.0,6047.0,2000.0,3600.0,155.0,221.0,12.0,3.0,4348.0,0,777.0,2989.0,3580.0,3.0,7.0
2022-04-13,17156.0,15000.0,1200.0,254.0,263.0,12.0,15.0,2881.0,1800.0,890.0,111.0,150.0,21.0,15.0,6031.0,2000.0,3600.0,209.0,229.0,12.0,3.0,4490.0,0,777.0,2089.0,3030.0,3.0,7.0
2022-04-14,17027.0,15000.0,1200.0,276.0,216.0,12.0,15.0,3301.0,1800.0,890.0,146.0,40.0,24.0,15.0,6020.0,2000.0,3600.0,197.0,228.0,12.0,3.0,5019.0,0,777.0,1289.0,1818.0,3.0,7.0
2022-04-15,17044.0,15000.0,1200.0,235.0,179.0,12.0,15.0,3393.0,1800.0,890.0,130.0,53.0,25.0,15.0,6000.0,2000.0,3600.0,176.0,214.0,12.0,3.0,3899.0,0,777.0,2536.0,1416.0,2.0,7.0
2022-04-16,17074.0,15000.0,1200.0,252.0,286.0,12.0,15.0,2628.0,1800.0,150.0,105.0,107.0,19.0,15.0,6015.0,2000.0,3600.0,165.0,216.0,12.0,3.0,4021.0,0,777.0,1614.0,1736.0,2.0,7.0
2022-04-17,16867.0,15000.0,1200.0,220.0,208.0,12.0,15.0,2701.0,1800.0,150.0,89.0,17.0,20.0,15.0,6050.0,2000.0,3600.0,167.0,222.0,12.0,3.0,3728.0,0,690.0,1425.0,1132.0,2.0,7.0
2022-04-18,16906.0,15000.0,1200.0,217.0,154.0,12.0,15.0,2832.0,1800.0,150.0,71.0,51.0,21.0,15.0,6154.0,2000.0,3600.0,169.0,189.0,12.0,3.0,3188.0,0,690.0,1147.0,608.0,2.0,7.0
2022-04-19,16904.0,15000.0,1200.0,225.0,227.0,12.0,15.0,2938.0,1800.0,150.0,75.0,65.0,22.0,15.0,5936.0,2000.0,3600.0,189.0,197.0,11.0,3.0,3140.0,0,600.0,778.0,730.0,2.0,7.0
2022-04-20,16928.0,15000.0,1200.0,225.0,227.0,12.0,15.0,2882.0,1800.0,150.0,75.0,65.0,21.0,15.0,5969.0,2000.0,3600.0,189.0,197.0,12.0,3.0,3116.0,0,600.0,737.0,713.0,2.0,7.0
2022-04-21,16831.0,15000.0,1200.0,187.0,316.0,12.0,15.0,2850.0,1800.0,150.0,60.0,23.0,21.0,15.0,6015.0,2000.0,3600.0,229.0,206.0,12.0,3.0,2957.0,0,600.0,684.0,525.0,2.0,7.0
2022-04-22,16866.0,15000.0,1200.0,197.0,179.0,12.0,15.0,2815.0,1800.0,150.0,404.0,29.0,21.0,15.0,5938.0,2000.0,3600.0,136.0,213.0,11.0,3.0,2821.0,0,600.0,461.0,598.0,2.0,7.0
2022-04-23,16799.0,15000.0,1200.0,169.0,133.0,11.0,15.0,2581.0,1800.0,150.0,67.0,24.0,19.0,15.0,5911.0,2000.0,3600.0,183.0,177.0,11.0,3.0,2658.0,0,600.0,451.0,614.0,2.0,7.0
2022-04-24,16908.0,15000.0,1200.0,191.0,244.0,12.0,15.0,2683.0,1800.0,150.0,81.0,75.0,20.0,15.0,5917.0,2000.0,3600.0,163.0,191.0,11.0,3.0,2609.0,0,600.0,705.0,656.0,2.0,7.0
2022-04-25,16773.0,15000.0,1200.0,172.0,198.0,11.0,15.0,2666.0,1800.0,150.0,70.0,45.0,20.0,15.0,6031.0,2000.0,3600.0,166.0,177.0,12.0,3.0,2629.0,0,600.0,664.0,684.0,2.0,7.0
2022-04-26,16770.0,15000.0,1200.0,149.0,182.0,11.0,15.0,2632.0,1800.0,150.0,48.0,7.0,19.0,15.0,5914.0,2000.0,3600.0,169.0,182.0,11.0,3.0,2691.0,0,600.0,650.0,712.0,2.0,7.0
2022-04-27,16726.0,15000.0,1200.0,162.0,122.0,11.0,15.0,2627.0,1800.0,150.0,55.0,17.0,19.0,15.0,5864.0,2000.0,3600.0,222.0,169.0,11.0,3.0,2570.0,0,600.0,687.0,566.0,2.0,7.0
2022-04-28,16814.0,15000.0,1200.0,208.0,167.0,12.0,15.0,3096.0,1800.0,150.0,92.0,361.0,23.0,15.0,6049.0,2000.0,3600.0,161.0,189.0,12.0,3.0,2329.0,0,600.0,670.0,425.0,1.0,7.0
2022-04-29,16647.0,15000.0,1200.0,278.0,80.0,11.0,15.0,3013.0,1800.0,150.0,111.0,26.0,22.0,15.0,6033.0,2000.0,3600.0,206.0,255.0,12.0,3.0,2445.0,0,600.0,634.0,750.0,1.0,7.0
2022-04-30,16757.0,15000.0,1200.0,252.0,243.0,11.0,15.0,2391.0,1800.0,150.0,139.0,164.0,18.0,15.0,5956.0,2000.0,3600.0,331.0,303.0,11.0,3.0,2646.0,0,600.0,598.0,799.0,2.0,7.0
2022-05-01,16881.0,15000.0,1200.0,313.0,389.0,12.0,15.0,3038.0,1800.0,150.0,93.0,51.0,23.0,15.0,5847.0,2000.0,3600.0,427.0,424.0,11.0,3.0,2594.0,0,600.0,750.0,699.0,1.0,7.0
2022-05-02,16824.0,15000.0,1200.0,296.0,242.0,12.0,15.0,3030.0,1800.0,150.0,95.0,48.0,22.0,15.0,5728.0,2000.0,3600.0,429.0,372.0,11.0,3.0,2704.0,0,600.0,537.0,647.0,2.0,7.0
2022-05-03,16775.0,15000.0,1200.0,273.0,217.0,11.0,15.0,2987.0,1800.0,150.0,90.0,51.0,22.0,15.0,5710.0,2000.0,3600.0,268.0,301.0,11.0,3.0,2863.0,0,600.0,691.0,850.0,2.0,7.0
2022-05-04,16687.0,15000.0,1200.0,224.0,139.0,11.0,15.0,2962.0,1800.0,150.0,75.0,34.0,22.0,15.0,5674.0,2000.0,3600.0,264.0,239.0,11.0,3.0,2450.0,0,600.0,866.0,453.0,1.0,7.0
2022-05-05,16757.0,15000.0,1200.0,224.0,139.0,11.0,15.0,2944.0,1800.0,150.0,75.0,34.0,22.0,15.0,5699.0,2000.0,3600.0,264.0,239.0,11.0,3.0,1994.0,0,600.0,673.0,216.0,1.0,7.0
2022-05-06,16757.0,15000.0,1200.0,224.0,291.0,11.0,15.0,2944.0,1800.0,150.0,66.0,77.0,22.0,15.0,5699.0,2000.0,3600.0,187.0,237.0,11.0,3.0,1754.0,0,600.0,180.0,420.0,1.0,7.0
2022-05-07,16781.0,15000.0,1200.0,345.0,366.0,11.0,15.0,2910.0,1800.0,150.0,99.0,52.0,22.0,15.0,5564.0,2000.0,3600.0,307.0,274.0,11.0,3.0,1513.0,0,860.0,486.0,245.0,1.0,7.0
2022-05-08,16600.0,15000.0,1200.0,514.0,273.0,11.0,15.0,2867.0,1800.0,150.0,151.0,87.0,21.0,15.0,5554.0,2000.0,3600.0,350.0,358.0,11.0,3.0,1309.0,0,860.0,693.0,437.0,1.0,7.0
2022-05-09,16413.0,15000.0,1200.0,271.0,274.0,11.0,15.0,2797.0,1800.0,150.0,100.0,47.0,21.0,15.0,5568.0,2000.0,3600.0,295.0,436.0,11.0,3.0,1230.0,0,860.0,441.0,364.0,1.0,7.0
2022-05-10,16503.0,15000.0,1200.0,164.0,270.0,11.0,15.0,2866.0,1800.0,150.0,62.0,159.0,21.0,15.0,5586.0,2000.0,3600.0,191.0,236.0,11.0,3.0,1375.0,0,860.0,286.0,429.0,1.0,7.0
2022-05-11,16735.0,15000.0,1200.0,149.0,382.0,11.0,15.0,2877.0,1800.0,150.0,61.0,159.0,21.0,15.0,5588.0,2000.0,3600.0,191.0,205.0,11.0,3.0,1205.0,0,860.0,387.0,217.0,1.0,7.0
2022-05-12,16834.0,15000.0,1200.0,166.0,326.0,12.0,15.0,2886.0,1800.0,150.0,61.0,56.0,21.0,15.0,5589.0,2000.0,3600.0,210.0,215.0,11.0,3.0,1292.0,0,860.0,359.0,446.0,1.0,7.0
2022-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
